table,model,n_seeds,n_params_mean,n_params_ci_lo,n_params_ci_hi,prevalence_mean,prevalence_ci_lo,prevalence_ci_hi,auprc_mean,auprc_ci_lo,auprc_ci_hi,auroc_mean,auroc_ci_lo,auroc_ci_hi,f1_youden_mean,f1_youden_ci_lo,f1_youden_ci_hi,brier_mean,brier_ci_lo,brier_ci_hi,ece_mean,ece_ci_lo,ece_ci_hi,loss_start_mean,loss_start_ci_lo,loss_start_ci_hi,loss_end_mean,loss_end_ci_lo,loss_end_ci_hi
T1,cqgt_full,2,386.0,386.0,386.0,0.0240687822951817,0.0233301975540921,0.0248073670362713,0.14386999726965038,0.0781912612358104,0.2095487333034904,0.8189531658994238,0.7323251781930263,0.9055811536058213,0.13968993203320362,0.1269549218031278,0.1524249422632794,0.24236264079809183,0.2411616444587707,0.243563637137413,0.46844098118246413,0.4675905482228477,0.4692914141420806,1.2710547503083944,1.2632586574181914,1.2788508431985974,1.249242337886244,1.2407936928793788,1.257690982893109
T1,gat,2,3105.0,3105.0,3105.0,0.0240687822951817,0.0233301975540921,0.0248073670362713,0.10282852858769265,0.0961534105524338,0.1095036466229515,0.8632113123516603,0.8457426314775573,0.8806799932257632,0.2025830031198663,0.1583793738489871,0.2467866323907455,0.1656315997242927,0.1236340552568435,0.2076291441917419,0.19636219414829556,0.1503580583936318,0.2423663299029593,,,,,,
T1,gcn,2,1345.0,1345.0,1345.0,0.0240687822951817,0.0233301975540921,0.0248073670362713,0.21118817118538613,0.1461988956451293,0.276177446725643,0.8954580877407338,0.8821954367338833,0.9087207387475842,0.14010207434929273,0.1385474860335195,0.141656662665066,0.054602410644292804,0.0480011962354183,0.0612036250531673,0.0738705442754258,0.0694749943178996,0.078266094232952,,,,,,
T1,generic_vqc,2,138.0,138.0,138.0,0.0240687822951817,0.0233301975540921,0.0248073670362713,0.06911500758887185,0.0685890628971672,0.0696409522805765,0.7864971499703486,0.7580287843103137,0.8149655156303836,0.111538713969487,0.0905722519555372,0.1325051759834368,0.2177362442016601,0.1743416488170623,0.2611308395862579,0.43873515827692533,0.3897887578407549,0.4876815587130957,1.290214503183961,1.2595355194061997,1.3208934869617224,1.1665364769287407,1.1046955473721027,1.2283774064853787
T1,logreg,2,8.0,8.0,8.0,0.0240687822951817,0.0233301975540921,0.0248073670362713,0.07769044536954135,0.0764274173567557,0.078953473382327,0.8420936712963458,0.8409934067026678,0.8431939358900238,0.1241516639388979,0.1170212765957446,0.1312820512820512,0.0559947939335922,0.0517345610378301,0.0602550268293543,0.11098137949130035,0.1024030747978495,0.1195596841847512,,,,,,
T1,xgboost,2,3932.0,3816.0,4048.0,0.0240687822951817,0.0233301975540921,0.0248073670362713,0.0898038068477741,0.0843428401112838,0.0952647735842644,0.862256682301823,0.8572358486462301,0.8672775159574158,0.1432584142196568,0.1431767337807606,0.143340094658553,0.030333308503031647,0.0257018692791461,0.0349647477269172,0.033583523653263045,0.0204616706316752,0.0467053766748509,,,,,,
