table,model,seed,n_params,prevalence,auprc,auroc,f1_youden,brier,ece,loss_start,loss_end
T1,logreg,1,8,0.023330197554092193,0.07642741735675578,0.8409934067026678,0.11702127659574468,0.05173456103783018,0.10240307479784956,,
T1,xgboost,1,4048,0.0233301975540921,0.0843428401112838,0.8572358486462301,0.143340094658553,0.0349647477269172,0.0467053766748509,,
T1,gcn,1,1345,0.023330197554092193,0.27617744672564304,0.9087207387475842,0.13854748603351955,0.04800119623541832,0.06947499431789969,,
T1,gat,1,3105,0.023330197554092193,0.09615341055243384,0.8457426314775573,0.2467866323907455,0.12363405525684357,0.1503580583936318,,
T1,generic_vqc,1,138,0.023330197554092193,0.06964095228057658,0.7580287843103137,0.09057225195553725,0.17434164881706238,0.38978875784075495,1.2595355194061995,1.1046955473721027
T1,cqgt_full,1,386,0.023330197554092193,0.0781912612358104,0.7323251781930263,0.12695492180312787,0.24116164445877075,0.46759054822284774,1.2788508431985974,1.2576909828931093
