table,model,seed,n_params,prevalence,auprc,auroc,f1_youden,brier,ece,loss_start,loss_end
T2,full_model,1,386,0.023330197554092193,0.0781912612358104,0.7323251781930263,0.12695492180312787,0.24116164445877075,0.46759054822284774,1.2788508431985974,1.2576909828931093
T2,no_hamiltonian,1,386,0.023330197554092193,0.11512251667425483,0.6797186196953785,0.06920415224913495,0.2408066689968109,0.46712577105241343,1.2787643633782864,1.25456652790308
T2,classical_attention,1,386,0.023330197554092193,0.08806223090519284,0.7759614966349948,0.09661399548532731,0.2411232441663742,0.4675957433648078,1.278897499665618,1.2571385223418474
T2,random_edges,1,386,0.023330197554092193,0.07410173221071481,0.75778720614463,0.08792048929663608,0.25347158312797546,0.48053685242234817,1.2787037286907434,1.2613083068281412
