table,model,seed,n_params,prevalence,auprc,auroc,f1_youden,brier,ece,loss_start,loss_end
T1,logreg,0,8,0.02480736703627138,0.07895347338232707,0.8431939358900238,0.13128205128205128,0.0602550268293543,0.1195596841847512,,
T1,xgboost,0,3816,0.0248073670362713,0.0952647735842644,0.8672775159574158,0.1431767337807606,0.0257018692791461,0.0204616706316752,,
T1,gcn,0,1345,0.02480736703627138,0.1461988956451293,0.8821954367338833,0.14165666266506602,0.06120362505316734,0.07826609423295203,,
T1,gat,0,3105,0.02480736703627138,0.1095036466229515,0.8806799932257632,0.15837937384898712,0.20762914419174194,0.24236632990295934,,
T1,generic_vqc,0,138,0.02480736703627138,0.06858906289716722,0.8149655156303836,0.13250517598343686,0.26113083958625793,0.4876815587130957,1.3208934869617224,1.2283774064853787
T1,cqgt_full,0,386,0.02480736703627138,0.20954873330349044,0.9055811536058211,0.15242494226327943,0.24356363713741302,0.46929141414208064,1.2632586574181914,1.2407936928793788
