ID_RSSD,Name (Legal),DT,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKG506,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832
1574834,"CREDIT SUISSE HOLDINGS (USA), INC.",20221231,,,,,,,,,,,,,1725981,6684636,770165,742329,15808170053,12870910,115886836,106013364,37045000,2319516,5732420,78863769,,,,,,,,,,,,
1575569,"BNP PARIBAS USA, INC.",20221231,,,,,,,,,,,,,68001,15692001,9462738,7029212,13108540929,8641234,38122692,66079807,24742000,6631255,2595388,186116896,,,,,,,,,,,,
1647970,CREDIT SUISSE GROUP AG,20221231,,,,,,,,,,,,,,,,,,,,,,,,,2223502,16830668,1317718,21989951,28549682323,12870910,113764050,493659915,41309493,3551449,6642558,154131422
1857108,HSBC HOLDINGS PLC,20221231,,,,,,,,,,,,,,,,,,,,,,,,,269501,37167404,33440754,29190230,48071766972,515636560,33078371,4864379904,29995000,0,11633775,288667896
1951350,CITIGROUP INC.,20221231,185908000,314078000,619332000,206174000000,20229459000,306994000,43210653000,15848000,1089283000,1215799000,83006000,2943732700,,,,,,,,,,,,,,,,,,,,,,,,
2162966,MORGAN STANLEY,20221231,233751000,70262000,424123000,15591991000,3240751000,251162000,32872520000,11170000,371848000,313788000,127108000,1422924900,,,,,,,,,,,,,,,,,,,,,,,,
2277860,CAPITAL ONE FINANCIAL CORPORATION,20221231,61917728,5481723,115659023,1354252075,8,3897756,204639359,452226,7457000,566463,8773995,536836700,,,,,,,,,,,,,,,,,,,,,,,,
2380443,"GOLDMAN SACHS GROUP, INC., THE",20221231,254987000,87198000,475392000,17705186000,1476437000,255239000,33203186000,26809000,463271000,489682000,86132000,1875616700,,,,,,,,,,,,,,,,,,,,,,,,
2816906,DB USA CORPORATION,20221231,,,,,,,,,,,,,342000,29345000,10528000,15000,65869380000,68997000,62683000,24774000,37829000,9686000,3349000,141044400,,,,,,,,,,,,
2961897,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",20221231,,,,,,,,,,,,,,,,,,,,,,,,,2921209,42314112,25378155,103258631,10902813299,159110536,45473070,1117449694,124401438,26893299,15507607,481013022
3133262,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",20221231,,,,,,,,,,,,,,,,,,,,,,,,,893384,93517257,9166059,73577401,8445905485,0,23436063,6865510974,84597883,27255013,2069166,377253341
3185355,"MIZUHO FINANCIAL GROUP, INC.",20221231,,,,,,,,,,,,,,,,,,,,,,,,,13125,46476701,144169977,49214450,48033532002,246670887,54865762,9050282878,134539974,23773467,9344179,397596842
3232316,HSBC NORTH AMERICA HOLDINGS INC.,20221231,,,,,,,,,,,,,269501,37167404,33440754,29190230,48071766972,515636560,33078371,4864379904,29995000,0,11633775,288667896,,,,,,,,,,,,
3242838,REGIONS FINANCIAL CORPORATION,20221231,9208000,2888000,27740000,742051000,30892000,4429000,163085000,836000,1363000,1014000,4986000,186594200,,,,,,,,,,,,,,,,,,,,,,,,
3587146,"BANK OF NEW YORK MELLON CORPORATION, THE",20221231,83677000,268050000,72631000,247095122000,33513600000,11366000,1052809000,0,104686000,160721000,27803000,448791900,,,,,,,,,,,,,,,,,,,,,,,,
3606542,TD GROUP US HOLDINGS LLC,20221231,,,,,,,,,,,,,58807,32616227,6314956,13928187,9959940657,10259080,50155219,388354020,49040000,4710636,71857690,564215150,,,,,,,,,,,,
3846375,DISCOVER FINANCIAL SERVICES,20221231,8992043,5330,78811433,532072149,0,0,9498416,0,57000,38000,163098,154174225,,,,,,,,,,,,,,,,,,,,,,,,
3981856,"SANTANDER HOLDINGS USA, INC.",20221231,,,,,,,,,,,,,128697,9468447,16147147,46780964,388112967,0,35634747,98605012,3853997,7780810,2152604,156379159,,,,,,,,,,,,
4795461,UBS GROUP AG,20221231,,,,,,,,,,,,,,,,,,,,,,,,,2322449,40777194,86448476,2203056,1312547580,1731591738,12806634,732495439,43873925,27844359,4746152,329336241
4846998,UBS AMERICAS HOLDING LLC,20221231,,,,,,,,,,,,,1691576,13218958,37933538,43906,728354837,1731591738,12806634,66794709,12135000,17808851,3507489,225045708,,,,,,,,,,,,
5006575,BARCLAYS US LLC,20221231,,,,,,,,,,,,,433000,12188000,1452000,12318000,40681075000,38393000,87620000,400520000,57740000,22134000,5979000,270937300,,,,,,,,,,,,
5149016,DWS USA CORPORATION,20221231,,,,,,,,,,,,,292879,317725,0,128436,2759988,0,0,0,313315,176077,310107,2407296,,,,,,,,,,,,
5280254,RBC US GROUP HOLDINGS LLC,20221231,,,,,,,,,,,,,134148,29626919,38141105,5284865,9550125044,493365280,111188943,50951016,11497000,8469429,6900988,194368123,,,,,,,,,,,,
