ï»¿ID_RSSD,Name,As of Date,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKG506,RISKM422,RISKM426,RISKN255,RISKY832,RISKY862,RISIG506,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISIY862,RISOG506,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832,RISOY862
1231333,BANK OF MONTREAL,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,172812,38386008,78700370,14890488640,372857795,52474869,623096108,53450000,7061000,5455491,513615198,0
1231418,BARCLAYS PLC,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,6993000,11005000,21417000,61905512000,69573000,126811000,500561000,69271000,26877000,8922000,419712700,324000
1231342,CANADIAN IMPERIAL BANK OF COMMERCE,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,303,18812653,43213369,5829687432,60101440,18261554,70430581,60241634,2246057,402843,200550101,0
3133262,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,669721,11014726,65349970,7233845170,0,55549343,4884524623,69044158,12402199,4194851,369995820,0
1238565,"TORONTO-DOMINION BANK, THE",12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,53456,7110526,74165504,27751151773,51231327,82578089,6900864917,86820362,5094325,52412416,721577928,0
1242375,SOCIETE GENERALE,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,454861,4754495,1582454,11696822076,89798713,28411400,35277104,53383639,19164639,434255,233695037,0
3185355,"MIZUHO FINANCIAL GROUP, INC.",12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,39122,158630339,53860928,56564641185,317966695,111054555,9988901284,78068686,31104818,31921465,431501182,381649
2961897,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,5029087,20544668,125420038,8978278598,77039541,70655176,1010270420,144007118,28598844,17497305,441703867,2440144
1242423,DEUTSCHE BANK AKTIENGESELLSCHAFT,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,3979000,61400000,66942000,110909565000,76300000,91128000,2442531000,89626000,24836000,10343000,408665700,0
1231968,BNP PARIBAS,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,58095,38019027,24168155,19932165912,1277771754,66419357,210712292,48881691,21254647,4996344,265353844,5787227
1238967,"BANK OF NOVA SCOTIA, THE",12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,0,14727307,20862335,37328503796,1215228,35131564,0,88226473,18419657,1322222,196516353,0
4846998,UBS AMERICAS HOLDING LLC,12/31/2024,,,,,,,,,,,,,2066536,36191166,23902474,3347157679,2228424444,23651840,70805348,24223000,18309810,3805247,236832648,0,,,,,,,,,,,,
5006575,BARCLAYS US LLC,12/31/2024,,,,,,,,,,,,,1390000,1103000,17444000,53685682000,48751000,126811000,486120000,58130000,21906000,8922000,294484700,324000,,,,,,,,,,,,
3981856,"SANTANDER HOLDINGS USA, INC.",12/31/2024,,,,,,,,,,,,,1305264,17806736,50125970,393492208,0,45626531,108395599,4958915,9018618,6114366,174782871,0,,,,,,,,,,,,
2816906,DB USA CORPORATION,12/31/2024,,,,,,,,,,,,,408000,10048000,150000,74647286000,76300000,91128000,42084000,45733000,8107000,4681000,145669100,0,,,,,,,,,,,,
5149016,DWS USA CORPORATION,12/31/2024,,,,,,,,,,,,,270646,0,155415,3462345,0,0,0,331797,229909,270646,2257084,,,,,,,,,,,,,
3232316,HSBC NORTH AMERICA HOLDINGS INC.,12/31/2024,,,,,,,,,,,,,258084,26829264,36901195,50863513561,753504124,43068660,1255169316,30474000,36250439,11358201,307715495,0,,,,,,,,,,,,
5034792,MIZUHO AMERICAS LLC,12/31/2024,,,,,,,,,,,,,65000,34753953,8125439,194665031962,317966695,111054555,10048998788,7564000,14508346,31332828,115810908,0,,,,,,,,,,,,
1575569,"BNP PARIBAS USA, INC.",12/31/2024,,,,,,,,,,,,,58095,16838300,0,12719553419,17253019,66419357,98172483,19796000,6127698,3743605,107475280,5787227,,,,,,,,,,,,
3606542,TD GROUP US HOLDINGS LLC,12/31/2024,,,,,,,,,,,,,53456,3774698,34416079,25476756194,51231327,82578089,366486120,63349000,4360181,52016604,620814244,0,,,,,,,,,,,,
5280254,RBC US GROUP HOLDINGS LLC,12/31/2024,,,,,,,,,,,,,10777,20704564,7950748,9415427156,656411625,117161801,69438089,12281000,9159667,7714493,203916285,0,,,,,,,,,,,,
5014141,CIBC BANCORP USA INC.,12/31/2024,,,,,,,,,,,,,303,12127995,9265358,585956478,60101440,18261554,15106255,3582000,2108846,49209,86814292,0,,,,,,,,,,,,
1245415,BMO FINANCIAL CORP.,12/31/2024,,,,,,,,,,,,,20,36591307,59585525,10924820384,372856448,52474869,432334179,9162000,6107000,4415632,348361050,0,,,,,,,,,,,,
