NAME,ID_RSSD,AsOfDate,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKG506,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832
U.S. BANCORP,1119794,12/31/2023,35546000,14980000,167190000,16628915000,2519118000,31884000,1209286000,4830000,19390000,33801000,23205000,805873600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"GOLDMAN SACHS GROUP, INC., THE",2380443,12/31/2023,310771000,83093000,542421000,17687547000,1724194000,253578000,38470598000,25861000,684104000,577869000,189935000,2002922800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
WELLS FARGO & COMPANY,1120754,12/31/2023,179118164,125825370,545388681,65326070875,2562724070,265592377,12642270176,9579000,175517000,69406295,69071465,2280484634,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
STATE STREET CORPORATION,1111435,12/31/2023,80994459,231847825,48082380,92579654985,30615000000,0,2533329000,4000,101221000,160620000,13094554,317950800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NORTHERN TRUST CORPORATION,1199611,12/31/2023,16334320,20735045,32215297,122521470904,10882000000,0,340383387,0,48958000,74767000,5927065,154902890,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BANK OF AMERICA CORPORATION,1073757,12/31/2023,251077000,151549000,755999000,170413587000,4126586000,546930000,32782965000,9270000,536573000,374808000,192394000,3755308200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CITIGROUP INC.,1951350,12/31/2023,233819000,338177000,666278000,200640239000,21287484000,426364000,41903778000,12651000,1084120000,1162928000,98348000,3002828000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"BANK OF NEW YORK MELLON CORPORATION, THE",3587146,12/31/2023,79793473,279539000,76905000,243085171000,36388800000,9331000,1061241000,0,101785000,158606000,30312000,438924400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JPMORGAN CHASE & CO.,1039502,12/31/2023,371497000,506938000,1145491000,556144469000,33317008000,446891000,49163578000,23663000,946840000,863663000,252415000,4596337100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DWS USA CORPORATION,5149016,12/31/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,280147,335566,0,132570,4353676,0,0,0,215640,193737,286486,2378670,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
