ï»¿Name (Legal),DT,ID_RSSD,RISKG506,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832,,,,,,,,,,,,,,,,,,,,,,,,,
DEUTSCHE BANK AKTIENGESELLSCHAFT,20211231,1242423,,,,,,,,,,,,,,,,,,,,,,,,,5013000,44738000,54857000,61945000,79912362000,83607000,126982000,4876990000,66003000,28972000,10714000,381859000,,,,,,,,,,,,,,,,,,,,,,,,,
BMO FINANCIAL CORP.,20211231,1245415,,,,,,,,,,,,,642692,46108596,34028637,16499831,8463526359,296102018,30580514,50431096,5391000,6570000,4986585,233971949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN EXPRESS COMPANY,20211231,1275216,32000,4508000,7851000,155519000,215725000,0,0,45406000,34445000,15128000,683000,222572900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUFG AMERICAS HOLDINGS CORPORATION,20211231,1378434,,,,,,,,,,,,,962606,26085773,11860446,13236986,3065847183,32950179,68835442,154905386,9908000,6887339,17923987,189419806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLY FINANCIAL INC.,20211231,1562859,30000,5911000,4074000,68236000,106668000,0,0,18169000,842000,255000,12204000,189873100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CREDIT SUISSE HOLDINGS (USA), INC.",20211231,1574834,,,,,,,,,,,,,1529684,11983028,1708330,1052209,40031642527,62648791,276321729,212796530,52144000,7854536,13651871,124019636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNP PARIBAS USA, INC.",20211231,1575569,,,,,,,,,,,,,147958,17958033,10701103,6669289,13085261200,9828798,53039778,67114766,16272000,5149370,2217449,189033877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREDIT SUISSE GROUP AG,20211231,1647970,,,,,,,,,,,,,,,,,,,,,,,,,2209681,21825087,4944838,30388014,52213320896,62648791,270843003,1094935849,54475560,15548773,15000560,229879863,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC HOLDINGS PLC,20211231,1857108,,,,,,,,,,,,,,,,,,,,,,,,,361714,45447160,33516884,23588573,46902620114,660959180,38444685,3568581807,28842000,0,24634566,316461761,,,,,,,,,,,,,,,,,,,,,,,,,
CITIGROUP INC.,20211231,1951350,14753000,211760000,285137000,488491000,194769456000,21288198000,554476000,38342072000,1057092000,1150862000,99787000,2995566200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
